Title,Description,Tips
"Amaranth Seeds Dreadlocks","90 Days. A fountain of eye-catching magenta-burgundy blooms! Here’sa different amaranth—curiousflower heads in a weeping habit,with “tassels” sometimes reachingdown to the ground. Compactplants seldom exceed 3-4feet in height. Seeds and youngleaves are edible and highly nutritious.This variety is stunningin beds and borders and it makesa top-notch cutting flower forfloral design. Adds some serious drama to the garden! 90 daysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Plant Height: 3'Frost Hardy: NoAmaranthus caudatus","Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Amaranth Seeds Elena's Rojo","This red-flowering, grain-type amaranth is from Guatemala, where amaranth has been a staple crop for many centuries. It was recently revived in the Maya communities of Baja Verapaz after almost being lost during the civil war. It was named after Elena, an indigenous farmer who was primarily responsible for the recovery of this rare local variety. We donate 100% of the proceeds of each sale of this item to Qachuu Aloom, a Guatemalan seed saving organization. 90 DaysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Frost Hardy: NoAmaranthus cruentus"," Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility. "
"Amaranth Seeds Golden Giant","The attractive golden-colored flower heads produce up to 1 pound of white seed per plant, making this a very heavy producer of seed. These seeds are high in protein, and they can be cooked in a number of ways: popped like popcorn, stewed into porridge, and more. Young leaves are also tasty as cooked greens. Plants grow to about 6 feet and are easy to grow.90 daysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Plant Height: 6'Frost Hardy: NoAmaranthus hypochondriacus"," Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Amaranth Seeds Hopi Red Dye","A stunningly vibrant ornamental with myriad traditional Indigenous uses.Originally grown as a dye plant by the southwestern Hopi Nation, thisvariety has the reddest seedlings of any amaranth known. Plants reach 4-6feet and cut a most striking figure in the garden! The Hopis use the deepred flower bract as a natural dye to color their world-renowned piki bread.The brilliant red dye rendered from its flowers can be used in craft projectsand as a natural food dye -- the possibilities are endless. The young leavesare excellent sautéed. 90 daysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Plant Height: 4-6'Frost Hardy: NoAmaranthus cruentus"," Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Amaranth Seeds Love-Lies-Bleeding Red","An heirloom flower of antiquity that is rooted in Indigenous agriculture of South America, as well as in cottage gardens of yesteryear. This is a very old heirloom variety that was very popular as a dramatic ornamental dating to before 1700. The tall plants are covered with very long rope-like flowers of a deep, brilliant red color. The long strands of color weep on the plant, making for an entirely unique form that is striking in the landscape and floral design. The 3-to 4-foot-tall plants are especially well suited to adding drama and flair to the back of the border. 60 daysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Plant Height: 36-48\"Frost Hardy: NoAmaranthus caudatus"," Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility. "
"Amaranth Seeds Opopeo","60 days. Beautiful, large, red, upright flower spikes and bronze-green foliage make this Mexican heirloom a real knockout in the vegetable garden. Tasty leaves are tender when picked young. Easy to grow from seed. From Opopeo, Mexico.60 DaysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Frost Hardy: NoAmaranthus cruentus","Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Artichoke Seeds Colorado Red Star","An easier-to-grow artichoke, Colorado Red Star can be grown as an annual from seed in a wide range of climates. The bracts range from purplish-green to paintbrush strokes of plum, with a perfect globe shape. While artichoke has historically been a perennial vegetable requiring 2 years or a period of vernalization, breeder Keith Mayberry developed the Imperial Star, a variety that will develop heads early in the first year with just 10 days of cool weather required! Colorado Red Star was the result of Keith crossing his green bract, Imperial Star, with purple varieties from Peru. The result: a 2- to 3-foot tall edible ornamental that produces stunning purple globes easily in the first season. Ideal for cold winter locations where overwintering perennial artichokes is difficult, it’s also perfect for hot southern climates where getting the requisite cold treatment for perennial types is not possible.Full SunSprouts in 10-21 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 Degrees FPlant Spacing: 18\"Plant Height: 2-3'Frost Hardy: YesCynara scolymus"," Sow indoors 2-3 months before average last frost. Transplant to rich, deep, well-drained soil. Seedlings require chill period (nights below 45F, but above freezing) to produce 'chokes. "
"Artichoke Seeds Green Globe","Tasty! Needs a fairly long, mild growing season, or can be grown as an annual. This colorful plant makes a great ornamental.Full SunSprouts in 10-21 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 60-80 Degrees FPlant Spacing: 18\"Frost Hardy: YesCynara cardunculus var. scolymus","Sow indoors 2-3 months before average last frost. Transplant to rich, deep, well-drained soil. Seedlings require chill period (nights below 45F, but above freezing) to produce 'chokes. "
"Cardoon Seeds Gobbo Di Nizzia","A rare cardoon from Italy. Its broad white stalks are eaten fried, sautéed, pickled, and in soups. Italians eat it raw, dipped in olive oil. The root is also tasty, and can be used like parsnips. The plant is similar in culture and appearance to artichokes. Cardoons have been popular in Europe since ancient Rome. Beautiful ornamental plants.Full SunSprouts in 10-21 DaysSeed Depth: 1/4\" to 1/2\"Ideal Temperature: 65-70 Degrees FPlant Spacing: 18\" Frost Hardy: YesCynara cardunculus var. scolymus"," Sow seeds indoors, 2-3 months before last frost date in spring. Grow in very rich, well-drained soil and ample moisture."
"Arugula Seeds Wild Rocket","Reap the intense nutritional benefits of this wild green! Wild Rocket arugula is the perfect marriage of gourmet flavor and wild-foraged nutrient density. The mouth-watering spicy flavor of these greens is an indicator of the presence of glucosinolates, which are broken down by the body into powerful compounds that scientists say, may have the ability to fight cell damage and even some cancers. Rocket is also replete with calcium and vitamins, especially A and K, as well as zeaxanthin and lutein, which have been shown to support eye and vision health. 40 daysSprouts in 5-7 DaysIdeal Temperature: 40-70 Degrees FSeed Depth: 1/8 inchPlant Spacing: 6\"Frost Hardy: YesDiplotaxis tenuifolia","Succession plant for continued harvest. Summer plantings can be located in part shade to avoid bolting and for better flavor."
"Arugula Seeds Common","This delicious green has spicy, peppery, mustard-like flavor, which is great in any salad. We love this green sprinkled on pizza and sandwiches, too. This is one of our most popular greens and is a great staple in any garden! With an incredibly high germination rate, lovely crunch, and tolerance for cool weather, some call this the perfect cold-weather green. Plant densely first thing in the spring and trim regularly for tender greens early in the season. Succession plant every 2-3 weeks until the heat of summer arrives. Great for a second planting in late summer for a fall harvest. This garden treat is ready to harvest in as little as four weeks, and can tolerate some frost. If wild birds and aphids tend to ravage your lettuce, try arugula instead. It is drought tolerant and incredibly easy to grow, but watch out—chickens love it, too!50 days4-8 hrs SunSprouts in 5-7 DaysIdeal Temperature: 40-70 Degrees FSeed Depth: 1/8 inchPlant Spacing: 6\"Frost Hardy: YesEruca sativa","Succession-plant for continued harvest. Summer plantings can be located in part shade to avoid bolting and for better flavor."
"Arugula Seeds Red Dragon","This arugula with a twist will enliven your culinary creations! Leaves are dramatically lobed in an oak leaf shape with a splash of crimson color. 45 - 50 daysNeeds 4-8 hrs of SunSprouts in 5-7 daysSeed Depth: 1/8 inchIdeal Temperature: 40-70 FPlant Spacing: 6” apartFrost Hardy: YESEruca sativa"," Succession plant for continued harvest. Summer plantings can be located in part shade to avoid bolting and for better flavor."
"Arugula Seeds Wasabi","For those chasing the unmistakable tingle and mouth-watering flavor of true wasabi, look no further than the Wasabi arugula.  This leafy crop is becoming popular in Japan and is a new star of the U.S culinary scene. The Wasabi arugula is perfect for salads, topping sandwiches and is so open to creative interpretation! This short and stout plant is quick to mature, but also fairly quick to bolt; sowing multiple successions and eating the delicious flowers will help you enjoy this plant for a longer season! Wasabi arugula is high in vitamin A, and arugula is a source of other important vitamins such as vitamin K and vitamin B-9. About 35 days4-8 hrs SunSprouts in 5-7 DaysIdeal Temperature: 40-70 Degrees FSeed Depth: 1/8 inchPlant Spacing: 6\"Frost Hardy: YesDiplotaxis erucoides","Succession-plant for continued harvest. Summer plantings can be located in part shade to avoid bolting and for better flavor."
"Asparagus Seeds Mary Washington","Easy to grow, disease resistant and delicious, Mary Washington has been the absolute gold standard for green asparagus varieties for the last century. During the early 1900s a fungal disease called Asparagus Rust travelled from Europe to the Americas, ravaging the U.S. asparagus crop. Plant explorer and breeder J.B. Norton, who worked at the USDA and with a group of Massachusetts asparagus growers, collected seeds from all over the East Coast and in Europe. He trialled countless varieties, using advanced statistical data to find successful varieties and ended up with a group of resistant asparagus types that he called Washington. ‘Mary Washington’ showed to be incredibly vigorous, and resistant to the rust. His achievement was hailed as a huge success for asparagus breeding. This scrumptious and reliable heirloom has rightly reigned supreme in gardens and on farms since it was introduced in 1919. Norton went on to dedicate the remainder of his career to breeding work with the Pedigreed Seed Company, which specialized in, you guessed it, asparagus. Full SunSprouts in 14-21 DaysSeed Depth 1/2\"Ideal Temperature: 65-75 Degrees FPlant Spacing: 18\"Frost Hardy: YAsparagus officinalis","Soak seeds 24 hours, sow indoors 2-3 months before last spring frost. Transplant into trenches in rich, well worked soil after last frost. Backfill gradually as seedlings grow."
"Asparagus Seeds Conovers Colossal","It is no wonder that Conover’s Colossal was developed specifically for market farmers: this variety is hearty, vigorous, and sure to please with its buttery, tender spears. This 19th century heirloom is still beloved by market farmers and home gardeners today. Produce merchant S.B. Conover of New York City developed it in the 1860s, selecting for the superior market qualities of massive spears and super high yields. This superb variety has been praised by the likes of famous 19th century market gardener Peter Henderson, as well as the Royal Horticultural Society. Spears can reach one inch thick and remain supremely soft and juicy. This heirloom asparagus is a true culinary delight and not to be missed.Full Sun Sprouts in 14-21 Days Seed Depth 1/2\" Ideal Temperature: 65-75 Degrees F Plant Spacing: 18\" Frost Hardy: YesAsparagus officinalis","Soak seeds 24 hours, sow indoors 2-3 months before last spring frost. Transplant into trenches in rich, well worked soil after last frost. Backfill gradually as seedlings grow."
"Asparagus Seeds Precoce D'Argenteuil","An old traditional heirloom, this gourmet variety is highly esteemed in Europe for its delicious stems with rose-tinged buds that can be blanched white, as in this photo. It produces well and has been a favorite of chefs since the late 1800s. Full Sun Sprouts in 14-21 Days Seed Depth 1/2\" Ideal Temperature: 65-75 Degrees F Plant Spacing: 18\" Frost Hardy: Y Asparagus officinalis"," Soak seeds 24 hours, sow indoors 2-3 months before last spring frost. Transplant into trenches in rich, well worked soil after last frost. Backfill gradually as seedlings grow."
"Aster Seeds Matsumoto Blue","A marvelous semi-double bloomed aster with blazing blue petals and contrasting yellow centers. Plants stand 26 inches tall, with semi- double blooms reaching 2 inches across. This is a stunning selection, perfect for pots on the patio, beds, borders, and more. 90 daysFull SunSprouts in 10-14 daysIdeal Temperature: 70-85 Degrees FSeed Depth: 1/4”Plant Spacing: 6-12”Frost Hardy: NoCallistephus chinensis  ","Sow in place in spring or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Aster Seeds Benary's Princess Bright Red","A rare and wonderful color!  Blazing and bold crimson-rose color with fully double petals make this a top choice for design in the landscape or as a cut flower. 3- to 4-inch blooms are magnificent to behold. Vibrant blooms sit atop 28-inch tall stems.8-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 70-85 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: NoCallistephus chinensis",""
"Aster Seeds Gala Lavender","Fluffy and fully double pincushion blooms in a lovely light lavender color. Blooms reach 3 to 4 inches across and stand atop sturdy 30-inch stems. A reliable and regal choice for floral design that no cut garden should be without! Excellent in beds, borders and containers.8-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 70-85 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: NoCallistephus chinensis",""
"Aster Seeds Giant Perfection Mix","These beautiful, long-lasting flowers are an old-fashioned favorite. Peony-type, extra-large flowers that are great for cutting. This formula mix has all of our favorite colors. Popular with both home and market growers!Full SunSprouts in 10-14 DaysSeed Depth: 1/4\"Ideal Temperature: 70-85 FPlant Spacing: 6-12\" Frost Hardy: NoCallistephus chinense"," Sow in place in spring, or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Aster Seeds Matsumoto Formula Mixed","A stunning rainbow of color from beautiful Japan. A vivid mix of double-flowered asters, with impressive disease tolerance. This blend of bold purple, fuchsia, lavender, pink, red, white, and apricot is a perfect fit for containers, beds, borders, and of course, cut flower design! The sturdy stems reach 24-30 inches in length. 2-3 inch diameter flowers with yellow centers. The extra-full petals with their attractive colors are highly desired for floral design, making incredible arrangements. Asters have long graced beds and borders and cottage gardens. Even the famous gardening president, Thomas Jefferson, was said to have an appreciation for the sturdy and brilliant blooms of China asters. Flower farmers and supporters of the slow flowers movement especially appreciate the peony flowering asters, which look regal and expensive but are really easy growing and rugged in nature and much less fussy than actual peonies.100 days8-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 70-85 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: NoCallistephus chinensis","Sow in place in spring, or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Aster Seeds Matsumoto Red Striped","Annual. This stunning magenta- and white-striped aster was specifically selected by renowned breeders in Japan for its merit as a cut flower. Indeed, the strong 24–30-inch stems and sturdy but super pretty 2-inch blooms make for a stellar addition to arrangements as well as the garden bed, containers, and borders.85 days8-12 hours of SunSprouts in 10-14 DaysIdeal Temperature: 70-85 Degrees FSeed Depth: 1/4\"Plant Spacing: 6-12\"Frost Hardy: NoCallistephus chinensis","Sow in place in spring, or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Aster Seeds Salmon Janina","Regal blushed tones make Salmon Janina the darling of the cut-flower garden. The extra-full petals with their soft, romantic colors are highly desired for floral design, and adding a few of these peony type asters will lend elegance to your arrangements. Plants are robust & tall, with flawless heads. Full SunSprouts in 10-14 DaysSeed Depth: 1/4\"Ideal Temperature: 70-85 FPlant Spacing: 6-12\" Frost Hardy: NoCallistephus chinensis"," Sow in place in spring, or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Aster Seeds Star Pastel Mix","Glitzy and glamorous, this mix produces clusters of large, glistening sea urchin shaped blooms in pastel colors from pinks to whites and lavender. The blooms lure in pollinators like bees and butterflies. Try this abundant blooming flower for incredibly elegant bouquets. A popular selection from Europe that is among the finest asters we have tried. Full SunSprouts in 10-14 DaysSeed Depth: 1/4\"Ideal Temperature: 70-85 FPlant Spacing: 6-12\" Frost Hardy: NoCallistephus chinensis","Sow in place in spring, or start plants indoors and grow for several weeks. Carefully set out after last frost. Requires full sun and rich soil. Removing spent blooms prolongs the blooming season."
"Bachelor's Button Seeds Classic Magic Mix","Cast a dramatic spell on the landscape with these moody purple and black tones. This mystical blend of plum, aubergine, and lilac is a thrilling departure from the classic blue Bachelor's Buttons. We love this mix for arrangements, beds, and borders, and remember -- the flowers are edible! You’ll find the 3-foot-tall plants buzzing with pollinator action.Sun: 6-12 hrsSprouts in 7-14 daysSeed Depth: 1/4 inchIdeal Temperature: 60-75 FPlant Spacing: 6-10” apartFrost Hardy: YESCentaurea cyanus"," Sow in place in fall or winter in mild winter climates or early spring where winters are severe. Space plants 8-12 inches. Removing spent blooms prolongs the blooming season. Self-sows freely."
"Bachelor's Button Seeds Black Boy","Lovely, nearly black, glistening flowers are perfect for the old-fashioned cottage garden. This rare heirloom was listed in many seed catalogs in the late 1930s and early 1940s, including the 1939 Geo. J. Ball catalog.  Colorful and unique. AnnualFull SunSprouts in 7-14 DaysSeed Depth: 1/4\"Ideal Temperature: 60-75 FPlant Spacing: 6-10\" Frost Hardy: YesCentaurea cyanus","Sow in place in fall or winter (mild winter climates) or early spring where winters are severe. Space plants 8-12 inches. Removing spent blooms prolongs the blooming season. Self-sows freely."
"Bachelor's Button Seeds Blue Boy","Incredibly electrifying blue, double flowers on tall 3-feet plants that bloom all season. Very easy to grow. It is a self-seeding annual, so you will not have to replant. The name is a nod to an old tradition for men who are “courting” to wear a blue Bachelor’s Button, stuck into the buttonhole of their jackets. AnnualFull SunSprouts in 7-14 DaysSeed Depth: 1/4\"Ideal Temperature: 60-75 FPlant Spacing: 6-10\" Frost Hardy: YesCentaurea cyanus","Sow in place in fall or winter (mild winter climates) or early spring where winters are severe. Space plants 8-12 inches. Removing spent blooms prolongs the blooming season. Self-sows freely."
"Bachelor's Button Seeds Classic Artistic Mix","Balanced formula mix of assorted Bachelor’s Buttons of mostly two-toned color patterns. The spectrum runs from sky blue through royal blue, deep burgundy to reds, rose, pinks, and white. Lends wonderful color to beds, borders, and especially to old-style cottage garden designs, and makes a perfect cut flower too! Truly an artistic new spin on an old classic favorite. Hardy AnnualFull SunSprouts in 7-14 DaysSeed Depth: 1/4\"Ideal Temperature: 60-75 FPlant Spacing: 6-10\" Frost Hardy: YesCentaurea cyanus","Sow in place in fall or winter (mild winter climates) or early spring where winters are severe. Space plants 8-12 inches. Removing spent blooms prolongs the blooming season. Self-sows freely."
